timestamp,eth_reserve,usdc_reserve,sqrt_price,tick,total_liquidity,trading_volume
2024-12-18 00:41:52.000682,91.12100651202347,179302.08846004552,44.35917086014216,75850,4042.0522968149753,29050.76853789138
2024-12-19 00:41:52.000682,58.403397709140194,56345.986594546,31.060785681731197,68722,1814.0554193285143,35737.28137436546
2024-12-20 00:41:52.000682,17.112778954387863,183908.45262126796,103.66701052776689,92828,1774.0306360238742,19773.397072547767
2024-12-21 00:41:52.000682,79.11675421545728,49878.807607228686,25.108675294550263,64467,1986.5168919546575,42072.65365957243
2024-12-22 00:41:52.000682,54.00460340588387,157105.05920354044,53.936119178958364,79759,2912.798725512133,47813.48182566663
2024-12-23 00:41:52.000682,11.760844018594105,185901.38157499352,125.72512140013612,96686,1478.6335420058083,20047.19248469743
2024-12-24 00:41:52.000682,64.69003496337193,105921.52315511732,40.46442893932135,74012,2617.645322857577,30806.52596856608
2024-12-25 00:41:52.000682,25.182509020740838,196054.4903089998,88.23459521913615,89604,2221.9684900473126,10291.06685971836
2024-12-26 00:41:52.000682,11.494559840384845,187789.70474073148,127.81732279902538,97016,1469.2038655511835,15541.22491426476
2024-12-27 00:41:52.000682,93.81698252972,167205.16891665317,42.216684146925346,74860,3960.641919074802,15565.338121745324
2024-12-28 00:41:52.000682,92.15894282464433,26906.39318910667,17.086731699019374,56768,1574.6951297099642,25036.38937738065
2024-12-29 00:41:52.000682,22.38718245121681,85750.38731484908,61.8896926309081,82511,1385.535840777868,12940.12797997269
2024-12-30 00:41:52.000682,87.21017455432337,138622.95428180712,39.86887647465443,73715,3476.9716766393694,49527.17566076014
2024-12-31 00:41:52.000682,62.08632051279179,132354.01165816773,46.171139537252024,76650,2866.596167750662,38416.152853500986
2025-01-01 00:41:52.000682,28.66275379009501,31150.089006176873,32.96633665643972,69913,944.9059909449156,47891.06827544745
2025-01-02 00:41:52.000682,58.60083180997959,138773.672443268,48.66331053409199,77702,2851.710475925133,36453.16798168292
2025-01-03 00:41:52.000682,14.490855018726908,180332.6940708844,111.5553054669427,94295,1616.5317580912597,24053.20300463597
2025-01-04 00:41:52.000682,13.744798532243525,23749.051606484645,41.567503916964505,74550,571.3369668269207,31965.631536593137
2025-01-05 00:41:52.000682,15.075154990266885,134573.2655665192,94.48187485609992,90972,1424.3289072267062,21538.920301490765
2025-01-06 00:41:52.000682,10.558172863001872,172198.8007926281,127.7087568083485,96999,1348.3711305016107,22427.3641970039
2025-01-07 00:41:52.000682,46.79289126206068,59539.409095553885,35.67075649751176,71490,1669.1378300235122,27368.536463160708
2025-01-08 00:41:52.000682,42.065519561096934,143070.84634747484,58.319319055181225,81322,2453.2324565055787,29039.55004746228
2025-01-09 00:41:52.000682,36.11833642395092,174867.27829888894,69.58095831224398,84854,2513.1484610225325,28974.27826625278
2025-01-10 00:41:52.000682,84.10406733236911,123953.60347617343,38.39026224628373,72959,3228.777200868755,30348.225027581302
2025-01-11 00:41:52.000682,84.0248666798902,151288.9130516388,42.43259921011425,74962,3565.393491511063,31763.043903421585
