timestamp,current_sqrt_price,lower_sqrt_price,upper_sqrt_price,current_tick,lower_tick,upper_tick,delta_x,delta_y,liquidity_provided,computed_delta_x,computed_delta_y
2024-12-18 00:41:52.000682,44.35917086014216,43.471987442939316,45.246354277345,75850,75446,76246,3.8528331711640593,268.4920496443574,2.3977152109175995e+31,1.0598490195344375e+28,2.1272131743011076e+31
2024-12-19 00:41:52.000682,31.060785681731197,30.439569968096574,31.68200139536582,68722,68318,69118,1.1010182368324812,466.6911264347527,5.9520516943789205e+31,3.757371019653782e+28,3.697508040913767e+31
2024-12-20 00:41:52.000682,103.66701052776689,101.59367031721155,105.74035073832223,92828,92424,93224,4.330464195648272,750.1838872987396,2.8666636877006916e+31,5.422080913642684e+27,5.94356909384871e+31
2024-12-21 00:41:52.000682,25.108675294550263,24.60650178865926,25.610848800441268,64467,64063,64863,2.465646907363716,879.5306210464815,1.3876398129945771e+32,1.0836343799512547e+29,6.968359498054248e+31
2024-12-22 00:41:52.000682,53.936119178958364,52.857396795379195,55.01484156253753,79759,79355,80156,2.155788043196819,925.6147863814665,6.7982976748581335e+31,2.4714413353822907e+28,7.33347587210369e+31
2024-12-23 00:41:52.000682,125.72512140013612,123.21061897213339,128.23962382813883,96686,96282,97082,0.21126229508338196,129.0494196648939,4.0661517283572166e+30,6.341490417667606e+26,1.0224348393581713e+31
2024-12-24 00:41:52.000682,40.46442893932135,39.65514036053492,41.27371751810778,74012,73608,74408,3.392913167562436,211.21533547252352,2.067767093589258e+31,1.0019776351292241e+28,1.6734202924321955e+31
2024-12-25 00:41:52.000682,88.23459521913615,86.46990331475342,89.99928712351888,89604,89200,90000,4.049378626876176,769.577123682478,3.4551176480691623e+31,7.678100035008551e+27,6.097218142237548e+31
2024-12-26 00:41:52.000682,127.81732279902538,125.26097634304487,130.3736692550059,97016,96612,97412,3.347368737476434,784.9205056219374,2.432683145694384e+31,3.731862667662069e+27,6.21878093801934e+31
2024-12-27 00:41:52.000682,42.216684146925346,41.37235046398684,43.06101782986385,74860,74455,75256,4.552444599170701,605.0643835330483,5.677629624263254e+31,2.6370159881941604e+28,4.7938139310149515e+31
2024-12-28 00:41:52.000682,17.086731699019374,16.744997065038987,17.42846633299976,56768,56364,57164,4.182294785341818,560.7771626583217,1.3001124193906393e+32,1.4919412810626396e+29,4.442934417738156e+31
2024-12-29 00:41:52.000682,61.8896926309081,60.65189877828994,63.12748648352626,82511,82107,82907,3.2047933943357343,900.3987077566866,5.7632323019612415e+31,1.8259026687099947e+28,7.133693514578037e+31
2024-12-30 00:41:52.000682,39.86887647465443,39.07149894516134,40.66625400414752,73715,73311,74111,3.481972963480452,310.1433087403025,3.081612355343063e+31,1.5155624390821826e+28,2.4572084467588343e+31
2024-12-31 00:41:52.000682,46.171139537252024,45.24771674650698,47.09456232799707,76650,76246,77047,1.9073611481454404,431.59851999528325,3.703044588656187e+31,1.5725996402156981e+28,3.419475768310227e+31
2025-01-01 00:41:52.000682,32.96633665643972,32.30700992331093,33.625663389568516,69913,69509,70309,3.077684222022028,748.0953510586257,8.989506578714829e+31,5.346812923550275e+28,5.927022004983844e+31
2025-01-02 00:41:52.000682,48.66331053409199,47.69004432341015,49.63657674477383,77702,77298,78098,4.465295061655242,732.9834574516525,5.966808654187496e+31,2.404198293072557e+28,5.807293248724688e+31
2025-01-03 00:41:52.000682,111.5553054669427,109.32419935760385,113.78641157628155,94295,93891,94691,1.934555080431709,421.484671772693,1.496722004063438e+31,2.6307570180470036e+27,3.3393456072478283e+31
2025-01-04 00:41:52.000682,41.567503916964505,40.73615383862521,42.398853995303796,74550,74146,74946,3.568799664478431,995.1593687776262,9.483928642264272e+31,4.473672162608332e+28,7.884464819710649e+31
